# Blocker_scaling_factor,Reimers_scaling_factor,Final_CO_WD_Mass
6.322471068479999790e-02,7.723044492830000163e-01,5.209310459628424539e-01
2.085514186980000004e-02,8.651389486070000245e-01,5.000082528620080069e-01
8.782250586169999818e-02,5.916903871240000168e-01,5.349963035106412024e-01
3.522546158320000176e-02,8.079169838030000328e-01,5.171387743215548616e-01
6.685581295930000112e-02,5.781060466620000504e-01,5.376934749936573832e-01
2.599133435910000109e-02,8.488898675930000026e-01,5.063041279867948052e-01
8.062927503149999731e-02,7.779287152970000285e-01,5.189355090210494570e-01
3.500656217650000013e-02,3.517837498820000075e-01,5.531079518117226757e-01
1.323434821139999988e-02,6.949740755009999882e-01,5.402527321808520133e-01
4.949174471020000021e-02,6.417025894419999821e-01,5.357182814978573848e-01
9.421275455359999496e-02,5.158213332279999452e-01,5.385948981032980809e-01
1.188151552729999928e-02,8.604606909919999547e-01,5.035756035272612730e-01
1.612877539440000021e-02,6.485661009780000485e-01,5.429363043228623287e-01
2.934227470530000048e-02,7.145735587410000367e-01,5.318936541092663672e-01
1.618303919779999836e-02,6.537036878619999491e-01,5.424691987295127138e-01
7.249757283369999417e-02,4.133410933209999971e-01,5.436058091448352503e-01
8.917080566130000663e-02,5.631746216190000043e-01,5.371460577430599015e-01
3.158453273479999712e-02,4.754806398240000176e-01,5.481020999760553014e-01
2.050730789680000124e-02,3.003840947499999969e-01,5.634352074598851789e-01
4.282710235269999999e-02,7.099510329739999737e-01,5.316747169229468772e-01
1.856159750519999901e-02,4.060986067099999763e-01,5.587467303342029679e-01
8.221560033159999725e-02,6.824574021410000357e-01,5.287309258100181264e-01
8.406004396390000244e-02,5.988449187729999457e-01,5.356636821189344477e-01
3.098092508900000125e-02,7.279256179199999899e-01,5.304987242542021919e-01
9.561464734840000035e-02,6.114282246319999725e-01,5.340688887283555619e-01
1.552696375670000080e-02,8.809930343230000238e-01,4.896277089302534802e-01
4.819943769490000335e-02,7.048321159160000349e-01,5.306231821579694419e-01
3.727264563470000097e-02,6.621677692130000237e-01,5.345618883607206051e-01
8.162340735489999333e-02,6.876257719289999848e-01,5.289146673537048482e-01
9.481309388460000542e-02,4.548960354639999815e-01,5.403087624001198241e-01
6.129449458990000182e-02,3.798046547530000150e-01,5.459813127345607420e-01
2.380646433980000004e-02,5.020634280210000133e-01,5.494451872908473478e-01
6.216115345940000092e-02,6.636689432640000552e-01,5.329682164391369437e-01
5.958013862500000091e-02,3.737363427179999920e-01,5.486186758010380693e-01
1.950400642510000115e-02,4.245921884519999745e-01,5.567380860867766623e-01
2.299439201940000135e-02,3.880279882400000102e-01,5.574630183532328642e-01
9.377225086260000675e-02,8.503312639040000454e-01,5.021032016146331767e-01
3.573901023509999664e-02,4.394712647969999941e-01,5.502508004557066235e-01
6.593543279730000595e-02,8.809473949889999878e-01,4.883134473460012392e-01
2.464933946900000131e-02,8.184992983259999910e-01,5.162695443768048342e-01
9.781311114660000416e-02,6.982435918370000216e-01,5.269873619973944878e-01
1.961796644140000045e-02,3.932893425180000180e-01,5.578007634408842508e-01
4.344320835999999908e-02,3.879868605430000228e-01,5.492082401041943340e-01
6.199630263309999917e-02,6.683040235230000015e-01,5.325781510501453875e-01
1.176491911960000046e-02,6.745032172199999509e-01,5.444559911849671252e-01
3.449956622650000165e-02,6.229110244679999520e-01,5.385493391365769877e-01
8.618774772170000043e-02,8.179125253410000074e-01,5.115613561319231062e-01
2.173074387879999833e-02,8.918968353409999494e-01,4.814367792316297523e-01
5.043188066990000190e-02,5.042523751640000107e-01,5.418426582017021875e-01
9.351841128290000471e-02,5.469469666380000206e-01,5.370773304950763327e-01
2.262538765140000019e-02,6.522133070379999564e-01,5.409968449790401035e-01
2.117469053530000173e-02,4.116195932899999743e-01,5.568049304889284290e-01
4.882271759190000282e-02,3.209389994419999947e-01,5.511695572361889894e-01
7.483744793459999600e-02,4.899485430389999840e-01,5.408054253990864924e-01
4.686174229589999685e-02,6.394200084969999809e-01,5.353241995256682317e-01
4.526213710759999925e-02,7.003893644590000189e-01,5.315713345748401819e-01
1.131032845700000004e-02,7.853831579469999769e-01,5.281874693055452763e-01
9.312586329289999909e-02,8.752104384469999721e-01,4.927439388253507802e-01
2.202310941769999864e-02,8.615000222769999549e-01,5.006339090155828009e-01
1.026739525949999995e-02,5.737155006680000335e-01,5.541355751680608899e-01
8.946518650439999609e-02,5.128636894320000028e-01,5.394824545516959668e-01
8.755057594670000165e-02,6.248774249220000465e-01,5.317628421901187119e-01
7.036356101969999666e-02,5.177371855969999936e-01,5.394023903309832502e-01
7.219132385739999991e-02,6.042805601849999819e-01,5.359540442165779961e-01
2.549144490139999830e-02,4.277371225050000114e-01,5.533747791174917774e-01
1.882044594539999949e-02,4.591074660999999724e-01,5.560417775656718575e-01
8.078150926839999801e-02,4.895008715570000057e-01,5.410440786047029382e-01
2.030558325560000155e-02,6.496573659209999851e-01,5.414435331651852312e-01
1.897411757240000107e-02,6.629825967060000158e-01,5.403178807600920175e-01
5.352049979480000275e-02,5.942862031350000240e-01,5.384399594332504035e-01
3.740736992359999791e-02,3.443848513969999803e-01,5.535911324821570778e-01
9.637332175370000309e-02,3.130528307200000082e-01,5.460349812921789781e-01
2.296231648560000116e-02,5.453925570600000050e-01,5.470363061200015364e-01
4.149641263429999782e-02,4.000026582010000054e-01,5.492615044955323489e-01
7.042767489109999501e-02,8.213342392269999959e-01,5.107752732924591976e-01
1.813966494739999852e-02,8.561472178029999602e-01,5.050246648676633976e-01
1.530403548640000069e-02,5.394902578439999541e-01,5.520288193080505890e-01
1.365121241489999915e-02,6.295992895740000206e-01,5.471408873182432853e-01
