Blocker_scaling_factor  Reimers_scaling_factor  star_mass  index
0.0320044970708 0.3 0.5568576312137703 60
0.0248140341584 0.3 0.5607725032958942 62
0.01 0.503536217166 0.5612208935656738 63
0.01 0.326112783391 0.5722693635229666 64
0.01 0.369134228853 0.5699858467772503 65
0.034273823043 0.7 0.5338212251161322 66
0.0209785762207 0.3 0.5625704285569834 67
0.01 0.607760427409 0.5530222086821173 68
0.01 0.516371319225 0.5600372786758753 69
0.0205453207351 0.3 0.5616700304203008 70
0.0231539265763 0.3 0.5613136103218145 71
0.04 0.462016376065 0.5479083830969728 72
0.0220479078142 0.7 0.5360096627720872 74
0.0259727543213 0.7 0.5354767010322435 76
0.01 0.31211874034 0.5735988748245864 77
0.04 0.537197604225 0.5434840601251649 78
0.0249763946073 0.3 0.5604665438930532 80
0.01 0.423752146226 0.5667862761741784 81
0.0245877719559 0.3 0.5604998314091508 82
0.0143713294713 0.3 0.5681336830892043 83
0.0242537185466 0.7 0.5359012225988646 84
0.01 0.492356517572 0.5621613842054561 85
0.0148691821189 0.3 0.5676869587475928 86
0.0245268132998 0.3 0.5605771257206367 87
0.0286778416444 0.3 0.5583887643948166 88
0.01 0.691087164716 0.5436514872910163 89
0.04 0.49551376781 0.5465530638303532 90
0.0233692070804 0.7 0.5361872374644117 93
0.01 0.510674759704 0.5603096732915431 95
0.0246719424096 0.7 0.5357637006731925 96
0.04 0.330694353858 0.5541539095685466 97
0.0378606525575 0.3 0.5552721479838119 98
0.0209898652012 0.3 0.5617495953666475 100
0.01 0.503045366348 0.5612331728258273 101
0.0321551393447 0.3 0.5570095397676655 102
0.01 0.363745377385 0.570569597919049 103
0.04 0.553025709581 0.5405966190940891 104
0.04 0.496630712907 0.5456414961032864 105
0.0243001369905 0.7 0.5358791187386962 106
0.0186912866801 0.3 0.56315019812917 107
0.01 0.463624346085 0.5639615607070012 108
0.01 0.537244058998 0.5589366960341468 109
0.01 0.552078372625 0.5573163657967953 110
0.0240579312968 0.7 0.5357922993624509 112
0.04 0.326697446881 0.5525656144154024 114
0.0325352112369 0.7 0.5328670480656788 116
0.01 0.646553610856 0.5479312488783659 117
0.0261012151106 0.7 0.534249860179909 118
0.04 0.682503782919 0.5342101258550914 119
0.04 0.439568375132 0.5479997218976296 120
0.0277866714589 0.3 0.5587297989517274 121
0.01 0.378356425507 0.5686811866876124 122
0.0243434484622 0.7 0.5337377317953431 123
0.04 0.484662187193 0.5460897485029493 124
0.04 0.508765282454 0.5457576215121278 125
0.04 0.521498471183 0.5452736724283975 126
0.0296340651615 0.7 0.5336102812506311 127
0.04 0.61346828407 0.5386933585487567 128
0.04 0.54377460776 0.5432090103524498 130
0.01 0.398717771356 0.5684877782861442 132
0.0279566717221 0.7 0.5338509281591408 133
0.04 0.551453434088 0.5425679464439791 134
0.0218479924765 0.3 0.5612982755191623 135
0.0235011978485 0.3 0.5602170438849376 136
0.0384023312384 0.3 0.5531780601401094 137
0.03558657189 0.3 0.555968172226981 139
0.017236963836 0.3 0.5653291313686334 142
0.01 0.384368449128 0.5694265986152863 143
0.04 0.497480086659 0.5458568698142836 144
0.0289621044855 0.7 0.5330385565430754 145
0.01 0.484037524353 0.5624211895896247 146
0.04 0.526551031921 0.5450745446392824 147
0.0149362696907 0.7 0.5391843138208221 148
0.0241620372042 0.7 0.5338010410764866 151
0.01 0.680882004079 0.5445720564001091 152
0.0164606659728 0.3 0.5659348806048347 153
0.01 0.495675767235 0.5617921052929647 154
0.0314074465141 0.3 0.5574443812398444 155
0.04 0.526583042303 0.5448585859999576 156
0.04 0.552404737654 0.5424563972987687 157
0.04 0.493382623449 0.5455442357716704 158
0.0245889689705 0.7 0.5358457958903933 159
0.0191254735392 0.7 0.5379559661627497 160
0.01 0.504745117359 0.5612437420689155 161
0.01 0.528205221229 0.55828083934622 162
0.04 0.432811180977 0.5489501840483341 163
0.04 0.547560930445 0.543129495577161 164
0.01 0.561247278938 0.556050718247143 165
0.04 0.47530275609 0.5455684499013856 166
0.0221280300142 0.7 0.5360433067680294 167
0.04 0.501236815896 0.5446097090861123 168
