Blocker_scaling_factor  Reimers_scaling_factor  status  index
0.04 0.330694353858 success 97
0.04 0.358940618712 success 47
0.0218479924765 0.3 success 135
0.01 0.691087164716 success 89
0.0358672568996 0.3 success 182
0.01 0.492356517572 success 85
0.01 0.504021548591 success 35
0.04 0.642514986011 success 31
0.01 0.31211874034 success 77
0.0254748599167 0.7 success 197
0.0212979208531 0.3 error 73
0.04 0.552404737654 success 157
0.0277866714589 0.3 success 121
0.0176764508042 0.7 success 23
0.01 0.369134228853 success 65
0.0325313334569 0.7 error 61
0.01 0.509903327329 success 11
0.04 0.40939102625 success 183
0.01 0.384368449128 success 143
0.0283350000788 0.7 error 91
0.0263080328249 0.3 success 198
0.04 0.493382623449 success 158
0.0138764502947 0.3 success 184
0.04 0.497480086659 success 144
0.04 0.564683130171 success 191
0.0245889689705 0.7 success 159
0.04 0.682503782919 success 119
0.04 0.54377460776 success 130
0.0178864827558 0.3 success 48
0.0289621044855 0.7 success 145
0.01 0.58708346714 success 192
0.04 0.496630712907 success 105
0.0148691821189 0.3 success 86
0.027949554369 0.3 error 36
0.029320990553 0.3 success 5
0.04 0.537197604225 success 78
0.0220479078142 0.7 success 74
0.04 0.441038465029 success 0
0.0171800303845 0.3 error 131
0.035367897607 0.7 success 24
0.0290051707922 0.3 success 20
0.034273823043 0.7 success 66
0.0255576379195 0.7 success 8
0.0248140341584 0.3 success 62
0.01 0.428779257156 success 3
0.01 0.484037524353 success 146
0.04 0.342942980178 error 12
0.0288354414779 0.3 success 193
0.0243001369905 0.7 success 106
0.0164606659728 0.3 success 153
0.019935500741 0.7 success 54
0.01 0.609796685225 success 50
0.01 0.568829219248 error 92
0.04 0.501236815896 success 168
0.0249763946073 0.3 success 80
0.0227878946314 0.7 error 194
0.0186912866801 0.3 success 107
0.01 0.495675767235 success 154
0.0233065188102 0.3 success 169
0.01 0.50617537024 success 180
0.0331199577814 0.7 error 140
0.0209898652012 0.3 success 100
0.0166402522099 0.7 success 49
0.01 0.463624346085 success 108
0.0314074465141 0.3 success 155
0.01 0.507920503396 error 115
0.0296740631485 0.7 success 37
