# ENSEMBLE SAMPLING ELLIPTIC OPTIMIZATION LOG
# SUCCESS!
# NUMBER OF POINTS PER SAMPLE = 6
number samples, inner min ave, inner min std, inner max ave, inner max std, outer min ave, outer min std, outer max ave, outer max std
28, 0.46607321186091805, 0.18497011678803305, 0.5638105606461422, 0.02022356103994574, 0.424230508076959, 0.26812410993368185, 0.5813094028383717, 0.06512728103946847
29, 0.46724308222080074, 0.1818583889596758, 0.5650419708247497, 0.0209128578387569, 0.42573734466803326, 0.2635813533423868, 0.5827380796184162, 0.06443953163376796
30, 0.4684572519644455, 0.17892123933172438, 0.5649669141430664, 0.020565328602847103, 0.42749712117657446, 0.25932431385477733, 0.5823329844715924, 0.0633939830704368
31, 0.46961038759677054, 0.17612504152168615, 0.5647014485335717, 0.020283094157632606, 0.42918944628409816, 0.2552757193423397, 0.5816877808934626, 0.0624631659737187
32, 0.47065199225201687, 0.17344822701216692, 0.5648871723751593, 0.01999041845907094, 0.43066861620588376, 0.25139031651289256, 0.5816829973626951, 0.061479438358075116
33, 0.4716692955383303, 0.17089692615888016, 0.5646337492529494, 0.019737334525675422, 0.43216373726312496, 0.24769650835019155, 0.5810879064561573, 0.060634285618631295
34, 0.4726194481773947, 0.16845343130707843, 0.5644786516410474, 0.019465314823423802, 0.43355165975819754, 0.24415694260678975, 0.5806406876509869, 0.05979116912468299
35, 0.4735068562046828, 0.16611012752547866, 0.5644270700439753, 0.019187581211909163, 0.4348375907811728, 0.24076049956717802, 0.5803487790253752, 0.058955395596639704
36, 0.4741038133488146, 0.16382486559982357, 0.5666177124331558, 0.02293247714250368, 0.4353367983222461, 0.23741142427857406, 0.5832831197782802, 0.06066755987728684
37, 0.47479732320986695, 0.1616494163215046, 0.5675657365877893, 0.023324665644438792, 0.4361985955341019, 0.23423826553976643, 0.5844340927354706, 0.06023926473504372
